id,source,requirement,evidence,owner,status,note,evidence_state
PED-01,Cadre pedagogique,Video 15-20 minutes presentant le MVP avec prise de parole individuelle,Dashboards_Offline/daylight_video_recording_pack.html; Config_Video/daylight_video_obs_scenes.csv; Video/PE_2526_M2CS_FOCSA_GUERNIOU_FELIX_DIACOUMBA_video-lien.txt,Equipe,A_FINALISER,"Script, teleprompteur, overlays et scene pack prets ; lien YouTube/MP4 reel encore absent.",partiel_2_3
PED-02,Cadre pedagogique,"Rapport technique complet avec architecture, configuration, logs, roles, procedures et REX",Rendus_PDF/PE-2526_M2CS_FOCSA_GUERNIOU_FELIX_DIACOUMBA_RapportGroupe.pdf; Rendus_PDF/PE-2526_M2CS_FOCSA_GUERNIOU_FELIX_DIACOUMBA_DossierGroupeComplet.pdf,Equipe,OK,Rapport groupe et dossier groupe consolide generes.,preuves_presentes
PED-03,Cadre pedagogique,Contribution individuelle de chaque membre,Rendus_PDF/PE-2526_M2CS_YvanFOCSA.pdf; Rendus_PDF/PE-2526_M2CS_YoussefGUERNIOU.pdf; Rendus_PDF/PE-2526_M2CS_KilyanFELIX.pdf; Rendus_PDF/PE-2526_M2CS_MahamadouDIACOUMBA.pdf,Equipe,OK,Un rendu individuel PDF par membre.,preuves_presentes
PED-04,Cadre pedagogique,"Gestion de projet, planning, roles et methodologie",05_BACKLOG_PLANNING.md; 19_ROLES_CONTRIBUTIONS_PREUVES.md; 31_PACK_SOUTENANCE_JURY.md,Kilyan FELIX,OK,"Backlog, roles et parcours de soutenance disponibles.",preuves_presentes
SOC-01,Cahier des charges,Analyse initiale du besoin client Daylight,14_SYNTHESE_EXECUTIVE_CLIENT.md; 01_RAPPORT_TECHNIQUE_GROUPE.md,Kilyan FELIX,OK,"Contexte client, risques et objectifs formalises.",preuves_presentes
SOC-02,Cahier des charges,Document architecture technique,01_RAPPORT_TECHNIQUE_GROUPE.md; Annexes_Captures/CAP-12_architecture-solution.png,Yvan FOCSA,OK,Architecture de demonstration et cible documentees.,preuves_presentes
SOC-03,Cahier des charges,Demonstrateur operationnel,Youssef GUERNIOU/setup-siem-lab.ps1; Preuves_SIEM_Youssef/Documentation_SIEM_Youssef_GUERNIOU.pdf; Rapports_Preflight/preflight-demo-report.txt; Annexes_Captures/CAP-25_preflight-demo-ok.png,Youssef GUERNIOU / Mahamadou DIACOUMBA,OK,"Lab Wazuh operationnel : Docker daemon OK, 3 conteneurs Wazuh UP, dashboard https://localhost en statut 200 via preflight CAP-25.",partiel_2_4
SOC-04,Cahier des charges,"Collecte multi-source agents, syslog ou API",Youssef GUERNIOU/Documentation_SIEM_Youssef_GUERNIOU.pdf; Demo_Logs/pfsense.log; Demo_Logs/daylight_app.log; Config_PfSense/pfsense_syslog_wazuh.md,Youssef GUERNIOU,OK,"Endpoint, serveur, logs applicatifs, pfSense/syslog et logs demo couverts.",preuves_presentes
SOC-05,Cahier des charges,SIEM open-source centralise,Youssef GUERNIOU/Documentation_SIEM_Youssef_GUERNIOU.pdf; 02_GUIDE_DEPLOIEMENT_UTILISATION.md,Youssef GUERNIOU,OK,Wazuh retenu et documente.,preuves_presentes
SOC-06,Cahier des charges,Regles de detection et alerting personnalisables,Config_Wazuh/local_rules_daylight_pfsense.xml; Config_Wazuh/daylight_alert_qualification_matrix.csv; Annexes_Captures/CAP-03_alerte-5712-brute-force-ssh.png,Kilyan FELIX / Youssef GUERNIOU,OK,"Regles 5712, 100xxx et 110xxx referencees et qualifiees.",preuves_presentes
