"start","end","speaker","screen","proof_or_file","talking_point"
"00:00","01:30","Kilyan","Presentation intro","Presentation_Daylight_CyberTrust.pptx","Daylight, Cyber Trust, objective, team roles"
"01:30","02:30","Yvan","Architecture group report","01_RAPPORT_TECHNIQUE_GROUPE.md","SOC externalise, Wazuh, sources, target architecture"
"02:30","04:00","Yvan","Revue firewall pfSense","Dashboards_Offline/daylight_pfsense_firewall_review.html / config/pfsense/pfsense_demo_test_plan.csv","Segmentation, regles firewall, NAT, tests pfSense, syslog Wazuh"
"04:00","05:30","Youssef","Wazuh dashboard","CAP-01/CAP-02","Agents and SIEM access"
"05:30","07:00","Youssef","Wazuh alerts","CAP-03/CAP-05","5712 and Daylight custom rules"
"07:00","08:30","Youssef","RBAC view","CAP-09","Admin/analyst/supervision segmentation"
"08:30","10:00","Kilyan","Technical dashboard","CAP-07","Severity, sources, top rules"
"10:00","11:30","Kilyan","Qualification matrix","21_DASHBOARDS_ALERTES_QUALIFICATION.md","SLA, escalation, alert qualification"
"11:30","13:00","Mahamadou","Runbook lab","22_EXPLOITATION_VM_RUNBOOK_REX.md","VM/container restart and preflight"
"13:00","14:30","Mahamadou","REX/playbook","03_PLAYBOOKS_PROCEDURES_REX.md","Incident handling and lessons learned"
"14:30","16:00","Yvan","Costs and limits","01_RAPPORT_TECHNIQUE_GROUPE.md","Industrialization, costs, pilot phase"
"16:00","17:00","Equipe","Final checklist","11_CHECKLIST_DEPOT_FINAL.md","Remaining proofs, final ZIP, conclusion"
