id,filename,priority,responsible,evidence,screen,required_for_deposit
CAP-01,CAP-01_wazuh-dashboard-login.png,1,Youssef,Wazuh accessible,Wazuh Dashboard logged in,yes
CAP-02,CAP-02_agents-poste01-serveur01.png,1,Youssef,Collecte multi-source,Wazuh agents page,yes
CAP-03,CAP-03_alerte-5712-brute-force-ssh.png,1,Youssef,Detection brute force SSH,Wazuh alert detail 5712,yes
CAP-04,CAP-04_source-endpoint-poste01-sca.png,2,Youssef,Endpoint/SCA,Windows endpoint or SCA screen,no
CAP-05,CAP-05_daylight-alertes-metier.png,2,Youssef,Custom rules Daylight,Search results 100110-100150,no
CAP-06,CAP-06_alerte-100120-acces-patient.png,1,Kilyan,Patient data protection,Alert detail 100120,yes
CAP-07,CAP-07_dashboard-technique.png,1,Kilyan,Dashboard analyste,Technical dashboard severity/source/rules,yes
CAP-08,CAP-08_dashboard-executif.png,1,Kilyan,Dashboard client,Executive dashboard KPIs,yes
CAP-09,CAP-09_rbac-analyste-lecture-seule.png,2,Youssef,RBAC,Readonly analyst cannot access admin,no
CAP-10,CAP-10_playbook-brute-force.png,2,Mahamadou,Playbook,PB-001 brute force opened,no
CAP-11,CAP-11_rex-incident-acces-patient.png,2,Mahamadou,REX incident,Incident REX section or filled template,no
CAP-12,CAP-12_architecture-solution.png,2,Yvan,Architecture,Architecture diagram,no
CAP-13,CAP-13_pfsense-regles-firewall.png,1,Yvan,Firewall/routeur concret,pfSense rules or CSV matrix,yes
CAP-14,CAP-14_pfsense-syslog-wazuh.png,2,Yvan/Youssef,Syslog firewall,pfSense remote logging to Wazuh,no
CAP-15,CAP-15_script-setup-siem-lab.png,2,Youssef,Automation lab,setup-siem-lab.ps1,no
CAP-16,CAP-16_auth-log-serveur01.png,2,Mahamadou,Source SSH brute force,auth.log or docker logs,no
CAP-17,CAP-17_compte-supervision-dashboard.png,2,Youssef,RBAC supervision,Supervision profile dashboard,no
CAP-18,CAP-18_export-dashboard-report.png,2,Kilyan,Reporting export,Dashboard/report export,no
CAP-19,CAP-19_wazuh-pfsense-alertes.png,2,Yvan/Youssef,pfSense alerting,Wazuh alert 110010 or 110020,no
CAP-20,CAP-20_wazuh-rejeu-logs-demo.png,2,Mahamadou,Log replay,Wazuh/dry-run log replay,no
CAP-21,CAP-21_dashboard-technique-requetes.png,2,Kilyan,Dashboard queries,Technical query dashboard,no
CAP-22,CAP-22_dashboard-executif-daylight.png,2,Kilyan,Executive dashboard,Client dashboard,no
CAP-23,CAP-23_qualification-alerte-100120.png,2,Kilyan,Alert qualification,100120 qualification view,no
CAP-24,CAP-24_qualification-alerte-110020.png,2,Kilyan,Firewall alert qualification,110020 qualification view,no
CAP-25,CAP-25_preflight-demo-ok.png,1,Mahamadou,Lab exploitation,preflight report after restart,yes
CAP-26,CAP-26_docker-conteneurs-lab.png,2,Mahamadou,Containers,docker ps -a,no
CAP-27,CAP-27_rejeu-logs-dry-run.png,2,Mahamadou,Replay logs,dry-run output,no
CAP-28,CAP-28_rex-incident-rempli.png,2,Mahamadou,REX completed,Filled REX example,no
CAP-29,CAP-29_pfsense-dashboard-reel.png,2,Yvan,pfSense VM live,pfSense dashboard WAN LAN,no
CAP-30,CAP-30_pfsense-interfaces-reelles.png,2,Yvan,pfSense interfaces,Interface assignments WAN LAN,no
CAP-31,CAP-31_pfsense-aliases-reels.png,2,Yvan,pfSense aliases,Aliases Daylight networks and hosts,no
CAP-32,CAP-32_pfsense-rules-lan-reelles.png,2,Yvan,pfSense LAN rules,LAN firewall rules real GUI,no
CAP-33,CAP-33_pfsense-wan-default-deny-reel.png,2,Yvan,pfSense WAN default deny,WAN rules default deny,no
CAP-34,CAP-34_pfsense-block-live.png,2,Yvan,pfSense live blocks,Firewall logs showing blocked traffic,no
CAP-35,CAP-35_pfsense-syslog-wazuh-reel.png,2,Yvan,pfSense syslog to Wazuh,Remote logging to 10.10.50.10:514,no
CAP-36,CAP-36_wazuh-pfsense-alertes-reelles.png,2,Yvan,Wazuh pfSense alerts,Wazuh 110010 and 110020 pfSense alerts,no
