"phase","item","owner","expected_evidence","status"
"Avant","Verifier micro et partage ecran","Kilyan","Test audio et capture lisible","a faire"
"Avant","Ouvrir PowerPoint et docs principaux","Kilyan","Slides pretes","a faire"
"Avant","Ouvrir architecture, revue firewall pfSense et plan tests","Yvan","CAP-12, CAP-13, revue HTML pfSense et pfsense_demo_test_plan prets","a faire"
"Avant","Ouvrir Wazuh ou dashboard offline","Youssef","CAP-01/02/03 ou HTML offline","a faire"
"Avant","Ouvrir playbooks/runbook","Mahamadou","Docs 03 et 22 prets","a faire"
"Pendant","Afficher le nom de chaque intervenant","Equipe","Nom visible pendant chaque sequence","a faire"
"Pendant","Respecter 15 a 20 minutes","Equipe","Chronometre actif","a faire"
"Pendant","Montrer dashboards technique/executif","Kilyan","CAP-07 et CAP-08 visibles","a faire"
"Pendant","Montrer alerte patient 100120","Kilyan","CAP-06 visible","a faire"
"Pendant","Montrer preflight/runbook","Mahamadou","preflight ou doc 25 visible","a faire"
"Apres","Exporter MP4 ou publier YouTube non repertorie","Equipe","Lien ou MP4 final","a faire"
"Apres","Coller le lien dans le fichier video","Equipe","TXT sans placeholder","a faire"
"Apres","Lancer check_video_ready.py","Equipe","video-readiness-report.txt OK","a faire"
"Apres","Lancer finalize_project.ps1","Equipe","ZIP final reconstruit","a faire"
